,Temp,Vacuum,Pressure,Humidity,Energy,TempDiff,PressureDiff,PowerPerFuel
1,5.76,40.07,1013.22,62.99,494.67,34.31,973.15,2.143254512935696
3,32.83,74.33,1011.44,50.42,427.36,41.5,937.11,0.1751293174861845
6,24.56,66.75,1018.5,77.47,435.03,42.19,951.75,0.2653625150971709
7,18.83,47.83,1005.58,77.07,454.23,29.0,957.75,0.5043419732369988
9,22.09,65.59,1015.54,72.44,447.28,43.5,949.95,0.3087067548789823
10,12.28,39.96,1011.76,77.07,468.0,27.68,971.8,0.9537224520937876
13,22.05,63.31,1012.39,76.95,444.37,41.260000000000005,949.08,0.3183199252427765
14,27.55,68.08,1011.42,60.71,432.59,40.53,943.34,0.2306403697155689
15,8.23,43.79,1016.11,82.11,484.67,35.56,972.32,1.3448422924279333
16,16.8,56.03,1020.65,85.26,461.96,39.23,964.62,0.4907660012068364
20,8.22,40.77,1009.11,95.61,480.38,32.550000000000004,968.34,1.4334164654011254
21,25.24,57.17,1010.44,74.0,442.77,31.930000000000003,953.27,0.3068461260615945
22,21.52,50.66,1013.56,74.33,455.71,29.14,962.9,0.418004643538012
27,14.55,42.74,1028.41,70.09,465.81,28.19,985.67,0.7490508420610837
28,31.86,73.88,1005.6,57.68,435.91,42.02,931.72,0.1851928323393732
30,18.66,56.53,1020.13,80.04,459.45,37.870000000000005,963.6,0.4355596408133177
32,23.3,72.99,1008.54,92.11,437.62,49.69,935.55,0.2573225681453218
34,15.27,56.89,1013.28,86.92,456.72,41.620000000000005,956.39,0.5257448887160657
37,20.6,45.38,1014.93,75.78,460.24,24.78,969.55,0.4923258610140046
41,26.3,61.41,1012.45,56.85,448.55,35.11,951.04,0.2777256648729508
43,11.77,41.06,1021.45,76.63,475.88,29.290000000000003,980.39,0.984695708168538
44,8.24,39.61,1017.99,78.42,477.9,31.37,978.38,1.46421542074057
47,26.99,68.12,1011.45,58.48,436.95,41.13000000000001,943.33,0.2376589750624239
48,5.66,39.42,1024.7,78.52,482.11,33.760000000000005,985.28,2.16079262378696
49,14.81,39.58,1011.62,73.64,467.32,24.77,972.04,0.7972297919512068
50,23.19,49.82,1014.59,70.52,451.08,26.63,964.77,0.3904353213612991
53,23.93,64.05,1013.09,86.02,440.66,40.12,949.04,0.2875026138232348
54,14.3,42.99,1007.32,73.72,467.9,28.69,964.33,0.7611137408764763
55,19.16,63.09,1017.71,91.15,449.51,43.93000000000001,954.62,0.371863305593527
56,24.51,65.12,1016.18,62.39,447.46,40.61,951.06,0.280347388670522
57,13.97,52.05,1012.05,85.36,463.64,38.08,960.0,0.6376226812361055
59,25.07,56.85,1011.25,51.99,442.44,31.78,954.4,0.3104342142791739
63,12.36,52.75,1026.04,68.71,465.14,40.39,973.29,0.7134158499363487
